Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
5,33GH14,5,CA,CA,93,7,1
1,7WH13,20,CA,CA,79,2,1
2,7WH13,20,CA,CA,79,2,1
3,7WH13,20,CA,CA,90,6,1
4,7WH13,20,CA,CA,90,6,1
5,7WH13,20,CA,CA,93,7,1
6,7WH13,20,CA,CA,93,7,1
7,7WH13,20,CA,CA,96,8,1
8,7WH13,20,CA,CA,105,11,1
9,7WH13,20,CA,CA,105,11,1
10,7WH13,20,CA,CA,105,11,1
11,7WH13,20,CA,CA,105,11,1
12,7WH13,20,CA,CA,108,12,1
13,7WH13,20,CA,CA,108,12,1
14,7WH13,20,CA,CA,108,12,1
15,7WH13,20,CA,CA,108,12,1
16,7WH13,20,CA,CA,108,12,1
17,7WH13,20,CA,CA,108,12,1
18,7WH13,20,CA,CA,108,12,1
19,7WH13,20,CA,CA,111,13,1
20,7WH13,20,CA,CA,111,13,1
1,9WH05,20,CA,CA,81,3,1
2,9WH05,20,CA,CA,81,3,1
3,9WH05,20,CA,CA,81,3,1
4,9WH05,20,CA,CA,90,6,1
5,9WH05,20,CA,CA,90,6,1
6,9WH05,20,CA,CA,93,7,1
7,9WH05,20,CA,CA,99,9,1
8,9WH05,20,CA,CA,99,9,1
9,9WH05,20,CA,CA,102,10,1
10,9WH05,20,CA,CA,105,11,1
11,9WH05,20,CA,CA,105,11,1
12,9WH05,20,CA,CA,105,11,1
13,9WH05,20,CA,CA,108,12,1
14,9WH05,20,CA,CA,108,12,1
15,9WH05,20,CA,CA,108,12,1
16,9WH05,20,CA,CA,108,12,1
17,9WH05,20,CA,CA,108,12,1
18,9WH05,20,CA,CA,108,12,1
19,9WH05,20,CA,CA,111,13,1
20,9WH05,20,CA,CA,111,13,1
1,1WH01,20,CA,CA,79,2,1
2,1WH01,20,CA,CA,87,5,1
3,1WH01,20,CA,CA,90,6,1
4,1WH01,20,CA,CA,90,6,1
5,1WH01,20,CA,CA,90,6,1
6,1WH01,20,CA,CA,90,6,1
7,1WH01,20,CA,CA,90,6,1
8,1WH01,20,CA,CA,99,9,1
9,1WH01,20,CA,CA,99,9,1
10,1WH01,20,CA,CA,102,10,1
11,1WH01,20,CA,CA,105,11,1
12,1WH01,20,CA,CA,108,12,1
13,1WH01,20,CA,CA,108,12,1
14,1WH01,20,CA,CA,108,12,1
15,1WH01,20,CA,CA,108,12,1
16,1WH01,20,CA,CA,108,12,1
17,1WH01,20,CA,CA,111,13,1
18,1WH01,20,CA,CA,111,13,1
19,1WH01,20,CA,CA,111,13,0
20,1WH01,20,CA,CA,111,13,0
1,2WH02/GH01,1,CA,CA,84,4,1
1,4WH02,20,CA,CA,79,2,1
2,4WH02,20,CA,CA,84,4,1
3,4WH02,20,CA,CA,84,4,1
4,4WH02,20,CA,CA,90,6,1
5,4WH02,20,CA,CA,96,8,1
6,4WH02,20,CA,CA,99,9,1
7,4WH02,20,CA,CA,99,9,1
8,4WH02,20,CA,CA,105,11,1
9,4WH02,20,CA,CA,105,11,1
10,4WH02,20,CA,CA,105,11,1
11,4WH02,20,CA,CA,105,11,1
12,4WH02,20,CA,CA,105,11,1
13,4WH02,20,CA,CA,105,11,1
14,4WH02,20,CA,CA,108,12,1
15,4WH02,20,CA,CA,111,13,1
16,4WH02,20,CA,CA,111,13,0
17,4WH02,20,CA,CA,111,13,0
18,4WH02,20,CA,CA,111,13,0
19,4WH02,20,CA,CA,111,13,0
20,4WH02,20,CA,CA,111,13,0
