sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
FS1.2,FS4,18,10,4,1.9,0.02,0.98139,0.08829,,,,,,
FS1.2,FS5,18,35,9,6.6,0.068,0.94304,0.14648,,,,,,
FS1.2,FS5.1,18,21,5,3.9,0.041,0.8392,0.34915,,,,,,
FS1.2,FS5.2,18,8,1,1.5,0.016,0.53545,0.82318,,,,,,
FS1.2,FS6,18,21,2,3.9,0.041,0.18382,0.94745,,,,,,
FS1.2,ND,18,9,4,1.7,0.018,0.98941,0.06042,,,,,,
FS1.2,SS1,18,11,2,2.1,0.021,0.66143,0.65496,,,,,,
FS1.2,SS2,18,11,3,2.1,0.021,0.87838,0.33857,,,,,,
FS1.2,SS3,18,7,3,1.3,0.014,0.97819,0.11947,,,,,,
FS1.2,FW1,18,50,10,9.4,0.098,0.72103,0.47493,,,,,,
FS1.2,FW3,18,16,1,3,0.031,0.14469,0.97403,,,,,,
FS1.2,FWND1,18,29,6,5.4,0.057,0.73205,0.47622,,,,,,
FS1.2,FWND2,18,45,11,8.4,0.088,0.94596,0.13996,,,,,,
FS1.2,FWND3,18,38,9,7.1,0.074,0.89714,0.22978,,,,,,
FS1.2,FWND4,18,7,2,1.3,0.014,0.88053,0.39046,,,,,,
FS1.2,FWND,18,6,1,1.1,0.012,0.68697,0.72294,,,,,,
FS1.2,T1,18,9,2,1.7,0.018,0.77793,0.53383,,,,,,
FS1.2,T2,18,49,10,9.2,0.096,0.75319,0.43574,,,,,,
FS1.2,T3,18,9,3,1.7,0.018,0.93958,0.22207,,,,,,
FS1.2,TND,18,11,4,2.1,0.021,0.97005,0.12162,,,,,,
FS1.2,C2,18,8,2,1.5,0.016,0.83181,0.46455,,,,,,
FS1.2,CND,18,7,0,1.3,0.014,0.22165,1,,,,,,
FS1.2,GS1,18,12,5,2.2,0.023,0.99119,0.04505,,,,,,
FS1.2,I2,18,14,2,2.6,0.027,0.48633,0.79136,,,,,,
FS1.2,I3,18,8,1,1.5,0.016,0.53545,0.82318,,,,,,
FS1.2,O1,18,22,7,4.1,0.043,0.97837,0.07375,,,,,,
FS1.2,G2,18,6,0,1.1,0.012,0.27706,1,,,,,,
FS1.3,FS2,4,27,1,1.1,0.012,0.68608,0.73976,,,,,,
FS1.3,FS2.1,4,30,1,1.2,0.013,0.63021,0.78304,,,,,,
FS1.3,FS3,4,25,1,1,0.011,0.72262,0.70751,,,,,,
FS1.3,FS5,4,35,1,1.5,0.015,0.53628,0.84291,,,,,,
FS1.3,FW1,4,50,1,2.1,0.022,0.2776,0.95088,,,,,,
FS1.3,FWND1,4,29,2,1.2,0.013,0.91915,0.35107,,,,,,
FS1.3,FWND2,4,45,2,1.9,0.02,0.7373,0.64267,,,,,,
FS1.3,FWND3,4,38,1,1.6,0.016,0.48068,0.87228,,,,,,
FS1.3,T2,4,49,2,2,0.021,0.67555,0.70713,,,,,,
FS1.4,FS2,5,27,1,1.4,0.015,0.56574,0.81614,,,,,,
FS1.4,FS2.1,5,30,3,1.6,0.016,0.96808,0.1744,,,,,,
FS1.4,FS3,5,25,3,1.3,0.014,0.98444,0.10907,,,,,,
FS1.4,FS5,5,35,4,1.8,0.019,0.99469,0.05756,,,,,,
FS1.4,FS5.1,5,21,3,1.1,0.011,0.99232,0.06806,,,,,,
FS1.4,FS6,5,21,2,1.1,0.011,0.93194,0.30005,,,,,,
FS1.4,FW1,5,50,5,2.6,0.027,1,0.03466,,,,,,
FS1.4,FWND1,5,29,2,1.5,0.016,0.83985,0.47835,,,,,,
FS1.4,FWND2,5,45,4,2.3,0.024,0.98001,0.1443,,,,,,
FS1.4,FWND3,5,38,4,2,0.021,0.99179,0.07825,,,,,,
FS1.4,T2,5,49,5,2.6,0.027,1,0.0312,,,,,,
FS1.4,O1,5,22,2,1.1,0.012,0.92266,0.32232,,,,,,
FS2,FS2.1,27,30,10,8.4,0.088,0.84379,0.29824,,,,,,
FS2,FS3,27,25,12,7,0.073,0.99707,0.01187,,,,,,
FS2,FS4,27,10,3,2.8,0.029,0.70575,0.57402,,,,,,
FS2,FS5,27,35,12,9.8,0.103,0.89416,0.21644,,,,,,
FS2,FS5.1,27,21,4,5.9,0.062,0.22331,0.91049,,,,,,
FS2,FS5.2,27,8,3,2.2,0.023,0.84797,0.39994,,,,,,
FS2,FS6,27,21,4,5.9,0.062,0.22331,0.91049,,,,,,
FS2,ND,27,9,4,2.5,0.026,0.93248,0.21964,,,,,,
FS2,SS1,27,11,1,3.1,0.032,0.12479,0.97932,,,,,,
FS2,SS2,27,11,4,3.1,0.032,0.84238,0.37232,,,,,,
FS2,SS3,27,7,2,2,0.021,0.69303,0.63793,,,,,,
FS2,FW1,27,50,15,14.1,0.146,0.74268,0.42188,,,,,,
FS2,FW2,27,5,2,1.4,0.015,0.8666,0.43426,,,,,,
FS2,FW3,27,16,4,4.5,0.047,0.51226,0.72135,,,,,,
FS2,FWND1,27,29,10,8.2,0.085,0.87599,0.2509,,,,,,
FS2,FWND2,27,45,16,12.7,0.132,0.95995,0.09791,,,,,,
FS2,FWND3,27,38,12,10.7,0.111,0.80039,0.35097,,,,,,
FS2,FWND4,27,7,2,2,0.021,0.69303,0.63793,,,,,,
