slno,tofro,via,date,total,type
AI0027345,BLR Y BOM,,04-Oct-13,8196,Air
AI0027345,BOM Y BLR,,08-Oct-13,7918,Air
AI0027352,LON g DEL,,08-Oct-13,6500,Air
AI0027406,BLR s BOM,,03-Oct-13,7145,Air
AI0027522,BLR y AMD,,04-Oct-13,9439,Air
AI0027522,AMD y BLR,,04-Oct-13,9439,Air
AI0027522,BLR y AMD,,04-Oct-13,9439,Air
AI0027522,AMD y BLR,,04-Oct-13,9439,Air
AI0027448,MON u BLR,NYC,18-Oct-13,8800,Air
AI0027614,BLR Y BOM,,09-Oct-13,7956,Air
AI0027715,BLR n EWR,LHR,08-Oct-13,47000,Air
AI0027715,EWR n BLR,LHR,08-Oct-13,47000,Air
AI0027828,BOM Y BLR,,09-Oct-13,8026,Air
AI0027835,BLR Y BOM,,09-Oct-13,7956,Air
AI0027879,BLR v NYC,BOM,12-Oct-13,39000,Air
AI0027879,NYC v BLR,BOM,12-Oct-13,39000,Air
AI0027915,BOM Y BLR,,10-Oct-13,8026,Air
AI0027932,BLR Y BOM,,19-Oct-13,7745,Air
AI0027932,BOM Y BLR,,14-Oct-13,8039,Air
AI0028005,BLR y BOM,,09-Oct-13,7216,Air
AI0028047,BLR Y BOM,,10-Oct-13,7956,Air
AI0028047,BOM Y BLR,,10-Oct-13,8026,Air
AI0028147,BLR Y BOM,,09-Oct-13,7943,Air
AI0028197,BLR t SIN,MAA,11-Oct-13,11917,Air
AI0028197,SIN w BLR,MAA,11-Oct-13,11918,Air
AI0028193,BOM Y BLR,,11-Oct-13,7918,Air
