CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,dendo,75,35,EBENACEA,Diospyro,dendo,DDEN,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,60.8,0.008,0.069,0.118,,0.318,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Euclea,divinorum,61,8,EBENACEA,Euclea,divinoru,EDIV,Mixed,,No,Africa,,Drupe2,,,8.5,8.5,,,,,,,,,,,,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,lycioides,36,43,EBENACEA,Diospyro,lycioide,DLYC,Mixed,,No,Africa,,Berry1,,,,,,,,,,,13.44,,,0.006,0.039,0.749,0.043,0.163,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Euclea,natalensis2,10,15,EBENACEA,Euclea,natalens,ENAT,Mixed,,No,Africa,,Drupe1,,,,,0.914,0.202,0.069,1.0,0.0690,22.1,17.45,3.52,70.3,0.007,0.023,0.933,0.037,0.024,"Frost, P.G.H. (1980)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ebenaceae,Diospyros,cf.viridicans,75,35,EBENACEA,Diospyro,cf.virid,DVIR,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,59.0,0.015,0.050,0.060,,0.380,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,consanguineum,38,49,ERICACEA,Vacciniu,consangu,VCON,Mixed,,No,NTAmerica,,Berry2,,,8.4,8.4,0.280,0.055,0.006,78.0,0.0001,19.7,17.66,0.98,77.7,0.054,0.035,0.888,0.023,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,macrocarpa,3,46,ERICACEA,Vacciniu,macrocar,VMAC,Mixed,,No,NAmerica,,Berry2,,,,,,,,,,,17.91,,87.9,0.058,0.033,0.893,0.016,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Gaultheria,appressa,70,14,ERICACEA,Gaulther,appressa,GAPP,Birds,,No,Australasia,,Berry2,,,,,0.310,0.030,0.021,330.4,0.0001,9.7,5.16,0.15,88.4,0.016,0.019,0.249,,,"French, K. (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,oxycoccos,74,10,ERICACEA,Vacciniu,oxycocco,VOXY,Mixed,,No,NEurope,,Berry2,,,,8.4,0.322,0.043,,7.0,,13.5,1.70,,86.4,0.018,0.015,0.042,,0.020,"Eriksson, O. and J. Ehrlen (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Cavendishia,smithii,38,49,ERICACEA,Cavendis,smithii,CSMI,Birds,,No,NTAmerica,,Berry2,,,5.5,8.2,0.226,0.019,0.019,210.5,0.0001,8.4,17.12,0.33,83.8,0.052,0.031,0.865,0.052,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Arbutus,unedo,0,17,ERICACEA,Arbutus,unedo,AUNE,Mixed,,No,MEurope,,Berry2,,,14.9,17.1,3.226,1.072,0.051,12.9,0.0040,33.2,17.75,19.03,65.2,0.029,0.037,0.670,0.011,0.281,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,myrtillus,0,17,ERICACEA,Vacciniu,myrtillu,VMYR,Mixed,,No,NEurope,,Berry2,,,6.4,6.7,0.192,0.029,0.012,50.0,0.0002,15.3,,,78.5,,,,,,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Empetrum,nigrum,74,10,ERICACEA,Empetrum,nigrum,ENIG,Birds,,No,NEurope,,Berry2,,,,7.8,0.137,0.018,,7.8,,12.9,7.72,,86.5,0.122,0.024,0.144,,0.010,"Eriksson, O. and J. Ehrlen (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,vitis-idaea,74,10,ERICACEA,Vacciniu,vitis-id,VVIT,Mixed,,No,NEurope,,Berry2,,,,7.7,0.246,0.037,,11.2,,14.9,3.50,,84.9,0.015,0.017,0.154,,0.070,"Eriksson, O. and J. Ehrlen (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Pernettya,coriacea,38,49,ERICACEA,Pernetty,coriacea,PCOR,Birds,,No,NTAmerica,,Berry2,,,8.5,8.8,0.311,0.040,0.010,164.0,0.0001,12.8,,,84.7,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,uliginosum,0,17,ERICACEA,Vacciniu,uliginos,VULI,Mixed,,No,NEurope,,Berry2,,,7.3,6.7,0.180,0.022,0.009,22.4,0.0004,12.2,,,82.7,,,,,,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Macleania,glabra,38,49,ERICACEA,Macleani,glabra,MGLA,Birds,,No,NTAmerica,,Berry2,,,13.7,14.7,1.934,0.296,0.040,83.3,0.0005,15.3,,,82.4,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Vaccinium,sp.1,3,46,ERICACEA,Vacciniu,sp.1,VSP1,Mixed,,No,NAmerica,,Berry2,,,,,,,,,,,17.33,,83.2,0.030,0.042,0.911,0.018,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Corema,album,0,17,ERICACEA,Corema,album,CALB,Mixed,,No,MEurope,,Berry2,,,6.2,6.6,0.158,0.010,0.030,3.0,0.0100,6.6,17.50,0.18,74.6,0.058,0.022,0.771,0.037,0.112,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Ericaceae,Arctostaphylos,uva-ursi,0,17,ERICACEA,Arctosta,uva-ursi,AUVA,Mixed,,No,NEurope,,Berry2,,,7.6,8.6,0.237,0.058,0.058,5.0,0.0120,21.1,17.71,1.02,60.0,0.058,0.028,0.627,0.025,0.261,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Lamiales,Gesneriaceae,Drymonia,rubra,58,7,GESNERIA,Drymonia,rubra,DRUB,Mixed,,No,NTAmerica,,Berry2,,,,,,,,,,,6.07,,97.0,0.002,0.062,0.288,,,"Dinerstein, E. (1986)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Lecythidaceae,Barringtonia,racemosa,73,31,LECYTHID,Barringt,racemosa,BRAC,Birds,,No,Australasia,,Drupe1,,,,,50.000,,,1.0,,,,,,,0.030,,,0.717,"O'Dowd, D.J. and P.S. Lake (1991)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Loganiaceae,Strychnos,inocua,36,43,LOGANIAC,Strychno,inocua,SINO,Mixed,,No,Africa,,Drupe1,,,,,,,,,,,18.75,,,0.304,0.038,0.399,0.045,0.153,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Loganiaceae,Strychnos,colubrina,43,4,LOGANIAC,Strychno,colubrin,SCOL,Mixed,,No,Australasia,,Drupe1,,,24.3,24.3,,,,,,,,,,,,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Asteridae,Gentianales,Loganiaceae,Anthocleista,grandiflora,61,8,LOGANIAC,Anthocle,grandifl,AGRA,Birds,,No,Africa,,Berry1,,,25.0,20.0,,,,,,,,,,,,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Asteridae,Ericales,Marcgraviaceae,Norantea,guianensis,71,9,MARCGRAV,Norantea,guianens,NGUI,Birds,,No,NTAmerica,,Berry2,,,7.0,7.0,,,,,,,,,,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
