Name,Type,sw,sl,fw,fl
FS3,F,25.46,18.74,NA,NA
FS3,F,26.68,17.64,NA,NA
FS3,F,23.92,17.54,NA,NA
FS3,F,25.64,17.7,NA,NA
FS3,F,23.7,16.56,NA,NA
FS3,F,24,17.98,NA,NA
FS3,F,19.56,14.9,NA,NA
FS3,F,22.48,16.48,NA,NA
FS3,F,22.3,16.4,NA,NA
FS3,F,22.94,17.52,NA,NA
FS3,F,20.16,15.88,NA,NA
FS3,F,23.44,16.46,NA,NA
FS3,F,25.32,18.42,NA,NA
FS3,F,18.7,14.06,NA,NA
FS3,F,24.34,17.26,NA,NA
FS3,F,25.36,17.62,NA,NA
FS3,F,17.72,14.34,NA,NA
FS3,F,19.9,14.46,NA,NA
FS3,F,24,17,NA,NA
FS3,F,23.42,16.78,NA,NA
FS3,F,23.08,17.46,NA,NA
FS3,F,22.66,15.54,NA,NA
FS3,F,25.04,18.2,NA,NA
FS3,F,24.6,16.12,NA,NA
FS3,F,24.16,17.4,NA,NA
FS2,F,31.3,19.44,NA,NA
FS2,F,21.48,15.8,NA,NA
FS2,F,22.28,19.08,NA,NA
FS2,F,26.06,18.54,NA,NA
FS2,F,29.6,19.28,NA,NA
FS2,F,26.28,18.38,NA,NA
FS2,F,18.98,14.8,NA,NA
FS2,F,22.56,17,NA,NA
FS2,F,31,17.48,NA,NA
FS2,F,29.24,17.94,NA,NA
FS2,F,28.22,18.58,NA,NA
FS2,F,30.2,17.72,NA,NA
BEL1,D,25.48,19.4,NA,NA
BEL1,D,31.04,18.48,NA,NA
BEL1,D,30.62,19,NA,NA
BEL1,D,30.64,18.84,NA,NA
BEL1,D,26.8,19.5,NA,NA
BEL1,D,31.76,19.62,NA,NA
PN9,C,19.94,16.06,NA,NA
PN9,C,21.14,16.32,NA,NA
PN9,C,22.78,17,NA,NA
PN9,C,23.08,15,NA,NA
PN9,C,17.34,15.88,NA,NA
PN9,C,22.62,17.34,NA,NA
PN9,C,24.36,17.82,NA,NA
PN9,C,23.44,17.86,NA,NA
PN9,C,21.44,16.64,NA,NA
PN9,C,24.2,17.16,NA,NA
PN9,C,22.7,18.14,NA,NA
PN9,C,22,14.72,NA,NA
PN9,C,22.64,16.46,NA,NA
PN9,C,23.42,17.3,NA,NA
PN9,C,24.06,18.1,NA,NA
PN9,C,22.22,16.48,NA,NA
PN9,C,20.68,14.54,NA,NA
PN9,C,19.22,16.54,NA,NA
PN9,C,20.1,16.76,NA,NA
PN9,C,20.08,17.88,NA,NA
PN9,C,21.78,15.46,NA,NA
PN9,C,23.74,18.5,NA,NA
PN9,C,20.06,13.34,NA,NA
PN9,C,20.4,16.26,NA,NA
PN9,C,22.46,16.54,NA,NA
PN9,C,20.1,15.52,NA,NA
PN9,C,24.22,15.36,NA,NA
PN9,C,22.6,17.22,NA,NA
ECC3,D,24.72,19.8,NA,NA
ECC3,D,24.68,17.84,NA,NA
ECC3,D,24.9,18,NA,NA
