Date,Name,Type,Crop,Direction,Class,Pyf,Pys,Bel,Dyso,Ecc,CS,Lpoma,Pha,Pd,Pp,Unid,Poly,Can,Gob,Mal
29-01-2012,ECC1,D,2000,Below,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC1,D,2000,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,Below,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,N,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
29-01-2012,ECC2,D,200,N,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,N,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,N,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,S,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,S,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29-01-2012,ECC2,D,200,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
