Date,Group,Sex,Day,Time,Act,TRee,Part,Rate,Spent
13-01-2012,1,F,9,14:16,Ot,NA,NA,NA,1
13-01-2012,1,F,9,14:17,Mo,NA,NA,NA,1
13-01-2012,1,F,9,14:18,Re,NA,NA,NA,1
13-01-2012,1,F,9,14:19,Fe,BD,UF,2,12
13-01-2012,1,F,9,14:31,Mo,NA,NA,NA,3
13-01-2012,1,F,9,14:34,Re,NA,NA,NA,2
13-01-2012,1,F,9,14:36,Fe,K,SB,10,13
13-01-2012,1,F,9,14:49,Fe,K,SB,10,5
13-01-2012,1,F,9,14:54,Mo,NA,NA,NA,1
13-01-2012,1,F,9,14:55,Fe,K ,SB,10,5
13-01-2012,1,F,9,15:00,Fe,K ,SB,10,0
14-01-2012,1,F,10,08:00,Fe,K,SB,11,14
14-01-2012,1,F,10,08:14,Mo,NA,NA,NA,1
14-01-2012,1,F,10,08:15,Re,NA,NA,NA,1
14-01-2012,1,F,10,08:16,Fe,K,SB,10,9
14-01-2012,1,F,10,08:25,Re,NA,NA,NA,1
14-01-2012,1,F,10,08:26,Ot,NA,NA,NA,1
14-01-2012,1,F,10,08:27,Mo,NA,NA,NA,5
14-01-2012,1,F,10,08:32,Fe,BD,UF,3,28
14-01-2012,1,M,10,09:30,Fe,BD,UF,3,9
14-01-2012,1,M,10,09:39,Re,NA,NA,NA,2
14-01-2012,1,M,10,09:41,Ot,NA,NA,NA,1
14-01-2012,1,M,10,09:42,Re,NA,NA,NA,4
14-01-2012,1,M,10,09:46,Ot,NA,NA,NA,1
14-01-2012,1,M,10,09:47,Mo,NA,NA,NA,1
14-01-2012,1,M,10,09:48,Re,NA,NA,NA,3
14-01-2012,1,M,10,09:51,Fe,BD,UF,3,21
14-01-2012,1,M,10,10:12,Re,NA,NA,NA,3
14-01-2012,1,M,10,10:15,Ot,NA,NA,NA,2
14-01-2012,1,M,10,10:17,Mo,NA,NA,NA,3
14-01-2012,1,M,10,10:20,Re,NA,NA,NA,6
14-01-2012,1,M,10,10:26,Ot,NA,NA,NA,1
14-01-2012,1,M,10,10:27,Re,NA,NA,NA,3
14-01-2012,1,F,10,10:45,Fe,BK,ML,???,10
14-01-2012,1,F,10,10:55,Re,NA,NA,NA,3
14-01-2012,1,F,10,10:58,Fe,BK,ML,???,21
14-01-2012,1,F,10,11:19,Mo,NA,NA,NA,3
14-01-2012,1,F,10,11:22,Re,NA,NA,NA,2
14-01-2012,1,F,10,11:24,Ot,NA,NA,NA,5
14-01-2012,1,F,10,11:29,Re,NA,NA,NA,9
14-01-2012,1,F,10,11:38,Ot,NA,NA,NA,7
14-01-2012,1,M,10,12:00,Mo,NA,NA,NA,6
14-01-2012,1,M,10,12:06,Fe,DI,RF,8,40
14-01-2012,1,M,10,12:46,Mo,NA,NA,NA,1
14-01-2012,1,M,10,12:47,Re,NA,NA,NA,13
14-01-2012,1,M,10,13:00,Re,NA,NA,NA,0
16-01-2012,1,M,11,09:10,Fe,K,SB,1,11
16-01-2012,1,M,11,09:21,Mo,NA,NA,NA,1
16-01-2012,1,M,11,09:22,Fe,K,SB,1,15
16-01-2012,1,M,11,09:37,Re,NA,NA,NA,2
16-01-2012,1,M,11,09:39,Mo,NA,NA,NA,1
16-01-2012,1,M,11,09:40,Re,NA,NA,NA,2
16-01-2012,1,M,11,09:42,Fe,paroli,ML,????,7
16-01-2012,1,M,11,09:49,Mo,NA,NA,NA,1
16-01-2012,1,M,11,09:50,Re,NA,NA,NA,3
16-01-2012,1,M,11,09:53,Ot,NA,NA,NA,1
