Individual,Individual from RTR,Sample ID,Method,Buffalo,Canis lupus familiaris,Caracal,Cattle,Chital,Duck,Gazelle,Gyps fulvus,Junlgefowl,Leopard,Mus musculus,Nilgai,Primate,Sambar,Slothbear,Wildpig
Unknown,NA,191,Metabarcoding,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Individual 7,NA,193,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,194,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,195,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Unknown,NA,197,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,198,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,201,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,202,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,204,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,205,Metabarcoding,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
Unknown,NA,206,Metabarcoding,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Individual 11,NA,207,Metabarcoding,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
